0,1,2.5
0,2,3.0
0,3,4.2
1,2,1.8
1,3,2.2
1,4,3.5
2,3,1.5
2,4,3.5
2,5,2.8
3,4,2.0
3,5,3.2
3,6,4.1
4,5,2.3
4,6,3.7
4,7,4.5
5,6,2.1
5,7,3.3
5,8,4.0
6,7,2.4
6,8,3.1
6,9,4.8
7,8,2.7
7,9,3.5
7,10,4.2
8,9,2.2
8,10,3.4
8,11,4.6
9,10,2.8
9,11,3.6
9,12,4.3
10,11,2.5
10,12,3.2
10,13,4.1
11,12,2.9
11,13,3.7
11,14,4.4
12,13,2.6
12,14,3.3
12,15,4.2
13,14,2.4
13,15,3.1
13,16,4.5
14,15,2.7
14,16,3.4
14,17,4.1
15,16,2.3
15,17,3.2
15,18,4.3
16,17,2.8
16,18,3.5
16,19,4.2
17,18,2.5
17,19,3.1
17,20,4.4
18,19,2.9
18,20,3.6
18,21,4.1
19,20,2.6
19,21,3.3
19,22,4.5
20,21,2.4
20,22,3.2
20,23,4.3
21,22,2.7
21,23,3.4
21,24,4.1
22,23,2.5
22,24,3.1
22,25,4.2
23,24,2.8
23,25,3.5
23,26,4.4
24,25,2.6
24,26,3.3
24,27,4.1
25,26,2.9
25,27,3.6
25,28,4.5
26,27,2.4
26,28,3.2
26,29,4.3
27,28,2.7
27,29,3.4
27,30,4.1
28,29,2.5
28,30,3.1
28,31,4.2
29,30,2.8
29,31,3.5
30,31,2.6
1,0,2.5
2,0,3.0
3,0,4.2
2,1,1.8
3,1,2.2
4,1,3.5
3,2,1.5
4,2,3.5
5,2,2.8
4,3,2.0
5,3,3.2
6,3,4.1
5,4,2.3
6,4,3.7
7,4,4.5
6,5,2.1
7,5,3.3
8,5,4.0
7,6,2.4
8,6,3.1
9,6,4.8
8,7,2.7
9,7,3.5
10,7,4.2
9,8,2.2
10,8,3.4
11,8,4.6
10,9,2.8
11,9,3.6
12,9,4.3
11,10,2.5
12,10,3.2
13,10,4.1
12,11,2.9
13,11,3.7
14,11,4.4
13,12,2.6
14,12,3.3
15,12,4.2
14,13,2.4
15,13,3.1
16,13,4.5
15,14,2.7
16,14,3.4
17,14,4.1
16,15,2.3
17,15,3.2
18,15,4.3
17,16,2.8
18,16,3.5
19,16,4.2
18,17,2.5
19,17,3.1
20,17,4.4
19,18,2.9
20,18,3.6
21,18,4.1
20,19,2.6
21,19,3.3
22,19,4.5
21,20,2.4
22,20,3.2
23,20,4.3
22,21,2.7
23,21,3.4
24,21,4.1
23,22,2.5
24,22,3.1
25,22,4.2
24,23,2.8
25,23,3.5
26,23,4.4
25,24,2.6
26,24,3.3
27,24,4.1
26,25,2.9
27,25,3.6
28,25,4.5
27,26,2.4
28,26,3.2
29,26,4.3
28,27,2.7
29,27,3.4
30,27,4.1
29,28,2.5
30,28,3.1
31,28,4.2
30,29,2.8
31,29,3.5
31,30,2.6
